"B_ChannelType";"B_Frequency";"B_LNBNumber";"B_Modulation";"B_Onid";"B_Polarization";"B_ServiceType";"B_Sid";"B_SymbolRate";"B_SystemHidden";"B_Tsid";"H_New_ChannelNumber";"S_ChannelLock";"S_ChannelName";"S_ChannelName_ascii";"S_ChannelNumber";"S_FavoriteNumber";"S_LogoID";"S_LogoLock";"S_SatelliteName";"S_SatelliteName_ascii";"S_Scramble";"S_UserHidden";"S_UserModifiedLogo";"S_UserModifiedName"
"3";"10847";"52";"0";"1";"1";"1";"30195";"22008";"0";"1058";"12";"0";"";"";"12";"0";"0";"0";"0x41 0x00 0x53 0x00 0x54 0x00 0x52 0x00 0x41 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0x45 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0xC2 0x00 0xB0 0x00 0x45 0x00 ";"ASTRA 19.2E 19.2E";"0";"0";"0";"0"
"3";"10847";"52";"0";"1";"1";"1";"30197";"22008";"0";"1058";"13";"0";"";"";"13";"0";"0";"0";"0x41 0x00 0x53 0x00 0x54 0x00 0x52 0x00 0x41 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0x45 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0xC2 0x00 0xB0 0x00 0x45 0x00 ";"ASTRA 19.2E 19.2E";"0";"0";"0";"0"
"3";"11685";"52";"0";"1";"1";"1";"30214";"22008";"0";"1032";"14";"0";"0x23 0x00 0x56 0x00 0x41 0x00 0x4D 0x00 0x4F 0x00 0x53 0x00 ";"#VAMOS";"14";"0";"0";"0";"0x41 0x00 0x53 0x00 0x54 0x00 0x52 0x00 0x41 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0x45 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0xC2 0x00 0xB0 0x00 0x45 0x00 ";"ASTRA 19.2E 19.2E";"0";"0";"0";"0"
"3";"11685";"52";"0";"1";"1";"1";"30220";"22008";"0";"1032";"15";"0";"0x23 0x00 0x56 0x00 0x41 0x00 0x4D 0x00 0x4F 0x00 0x53 0x00 ";"#VAMOS";"15";"0";"0";"0";"0x41 0x00 0x53 0x00 0x54 0x00 0x52 0x00 0x41 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0x45 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0xC2 0x00 0xB0 0x00 0x45 0x00 ";"ASTRA 19.2E 19.2E";"0";"0";"0";"0"
"3";"12148";"52";"0";"133";"0";"1";"70";"27507";"0";"7";"16";"0";"0x2E 0x00 ";".";"16";"0";"0";"0";"0x41 0x00 0x53 0x00 0x54 0x00 0x52 0x00 0x41 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0x45 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0xC2 0x00 0xB0 0x00 0x45 0x00 ";"ASTRA 19.2E 19.2E";"0";"0";"0";"0"
"3";"12148";"52";"0";"133";"0";"1";"768";"27507";"0";"7";"17";"0";"0x2E 0x00 ";".";"17";"0";"0";"0";"0x41 0x00 0x53 0x00 0x54 0x00 0x52 0x00 0x41 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0x45 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0xC2 0x00 0xB0 0x00 0x45 0x00 ";"ASTRA 19.2E 19.2E";"0";"0";"0";"0"
"3";"12148";"52";"0";"133";"0";"1";"72";"27507";"0";"7";"18";"0";"0x2E 0x00 ";".";"18";"0";"0";"0";"0x41 0x00 0x53 0x00 0x54 0x00 0x52 0x00 0x41 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0x45 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0xC2 0x00 0xB0 0x00 0x45 0x00 ";"ASTRA 19.2E 19.2E";"0";"0";"0";"0"
"3";"12460";"52";"0";"133";"0";"2";"171";"27507";"0";"5";"19";"0";"0x2E 0x00 ";".";"19";"0";"0";"0";"0x41 0x00 0x53 0x00 0x54 0x00 0x52 0x00 0x41 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0x45 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0xC2 0x00 0xB0 0x00 0x45 0x00 ";"ASTRA 19.2E 19.2E";"0";"0";"0";"0"
"3";"12460";"52";"0";"133";"0";"2";"174";"27507";"0";"5";"20";"0";"0x2E 0x00 ";".";"20";"0";"0";"0";"0x41 0x00 0x53 0x00 0x54 0x00 0x52 0x00 0x41 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0x45 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0xC2 0x00 0xB0 0x00 0x45 0x00 ";"ASTRA 19.2E 19.2E";"0";"0";"0";"0"
"3";"12460";"52";"0";"133";"0";"2";"175";"27507";"0";"5";"21";"0";"0x2E 0x00 ";".";"21";"0";"0";"0";"0x41 0x00 0x53 0x00 0x54 0x00 0x52 0x00 0x41 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0x45 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0xC2 0x00 0xB0 0x00 0x45 0x00 ";"ASTRA 19.2E 19.2E";"0";"0";"0";"0"
